Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;ano;Mês;Ordem mês;Chegadas
África;1;Nigéria;162;Acre;1;Terrestre;2;2015;maio;5;1
África;1;Outros países;998;Acre;1;Terrestre;2;2015;maio;5;1
América Central e Caribe;2;Costa Rica;53;Acre;1;Terrestre;2;2015;maio;5;0
América Central e Caribe;2;Cuba;55;Acre;1;Terrestre;2;2015;maio;5;0
América Central e Caribe;2;Guatemala;84;Acre;1;Terrestre;2;2015;maio;5;0
América Central e Caribe;2;Panamá;170;Acre;1;Terrestre;2;2015;maio;5;0
América Central e Caribe;2;Outros países;998;Acre;1;Terrestre;2;2015;maio;5;5
América do Norte;3;Canadá;38;Acre;1;Terrestre;2;2015;maio;5;0
América do Norte;3;Estados Unidos;68;Acre;1;Terrestre;2;2015;maio;5;6
América do Norte;3;México;148;Acre;1;Terrestre;2;2015;maio;5;4
América do Sul;4;Argentina;11;Acre;1;Terrestre;2;2015;maio;5;19
América do Sul;4;Bolívia;26;Acre;1;Terrestre;2;2015;maio;5;828
América do Sul;4;Chile;42;Acre;1;Terrestre;2;2015;maio;5;7
América do Sul;4;Colômbia;48;Acre;1;Terrestre;2;2015;maio;5;16
América do Sul;4;Equador;63;Acre;1;Terrestre;2;2015;maio;5;3
América do Sul;4;Guiana Francesa;87;Acre;1;Terrestre;2;2015;maio;5;0
América do Sul;4;Paraguai;173;Acre;1;Terrestre;2;2015;maio;5;0
América do Sul;4;Peru;174;Acre;1;Terrestre;2;2015;maio;5;918
América do Sul;4;Guiana;86;Acre;1;Terrestre;2;2015;maio;5;0
América do Sul;4;Suriname;217;Acre;1;Terrestre;2;2015;maio;5;0
América do Sul;4;Uruguai;234;Acre;1;Terrestre;2;2015;maio;5;0
América do Sul;4;Venezuela;238;Acre;1;Terrestre;2;2015;maio;5;1
Ásia;5;China;43;Acre;1;Terrestre;2;2015;maio;5;0
Ásia;5;Índia;113;Acre;1;Terrestre;2;2015;maio;5;1
